"route","hab","apr_may","year","y"
"267",156,"Co",-0.48565,8,33
"268",157,"Co",1.9713,7,7
"269",158,"We",1.2065,8,24
"270",159,"Co",0.86385,8,22
"271",160,"Br",3.352615,6,11
"272",160,"Br",0.66415,8,55
"273",161,"Br",1.885935,7,50
"274",161,"Br",3.54,6,19
"275",162,"Co",3.30775,6,51
"276",163,"Br",0.10715,8,27
"277",164,"Co",2.630285,6,45
"278",165,"Br",3.454935,6,48
"279",166,"Br",0.65995,8,82
"280",167,"We",3.06565,6,9
"281",167,"We",1.3555,7,43
"282",168,"Br",3.239785,6,21
"283",168,"Br",1.4899,7,72
"284",169,"We",1.274,7,45
"285",170,"Co",1.36385,7,40
"286",170,"Co",3.0634,6,15
"287",171,"We",2.7204335,6,29
"288",172,"Co",2.310585,6,40
"289",173,"Co",0.9758,7,65
"290",173,"Co",1.77885,9,20
"291",174,"Co",1.2095,7,15
"292",175,"We",2.009135,6,62
"293",176,"Br",1.78295,6,86
"294",176,"Br",2e-04,7,65
"295",176,"Br",-1.1608,8,118
"296",177,"Co",1.96015,7,7
"297",178,"Op",1.0313,6,4
"298",179,"Co",1.35455,7,44
"299",180,"Co",1.663835,7,13
"300",181,"Co",-0.14805,8,21
"301",182,"Op",0.1655,6,2
"302",183,"We",0.8882,7,77
"303",184,"Co",1.3715,7,14
"304",185,"Op",-2.30061,7,0
"305",186,"Op",0.3626,7,9
"306",187,"Br",0.74255,7,58
"307",188,"We",1.1484,7,51
"308",189,"Op",0.44135,7,50
"309",189,"Op",2.1216,6,11
"310",190,"Op",0.3076,7,88
"311",190,"Op",2.01885,6,22
"312",191,"Op",2.4429,6,6
"313",191,"Op",0.70385,7,58
"314",192,"Op",0.60595,7,50
"315",192,"Op",2.2558,6,5
"316",193,"Op",2.369635,6,1
"317",193,"Op",0.75705,7,15
"318",193,"Op",0.9365,9,17
"319",194,"Op",2.7508,6,6
"320",194,"Op",1.2645,7,44
